KEY,FREQ,REF_AREA,BANK_SELECTION,BLS_ITEM,BLS_COUNT,BLS_COUNT_DETAIL,TIME_HORIZON,EFFECT_DOMAIN,MARKET_ROLE,BLS_AGG_METHOD,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,COLLECTION,COMPILING_ORG,DISS_ORG,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
BLS.Q.BE.ALL.O.E.Z.B3.RA.D.FNET,Q,BE,ALL,O,E,Z,B3,RA,D,FNET,2015-Q2,-50,A,F,,,P3M,B,,,2,,Share of rejected loan application-Overall-Enterprise,Belgium - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Share of rejected loan application Loan demand Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.BE.ALL.O.E.Z.B3.RA.D.FNET,Q,BE,ALL,O,E,Z,B3,RA,D,FNET,2015-Q3,-75,A,F,,,P3M,B,,,2,,Share of rejected loan application-Overall-Enterprise,Belgium - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Share of rejected loan application Loan demand Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.BE.ALL.O.E.Z.B3.RA.D.FNET,Q,BE,ALL,O,E,Z,B3,RA,D,FNET,2015-Q4,-50,A,F,,,P3M,B,,,2,,Share of rejected loan application-Overall-Enterprise,Belgium - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Share of rejected loan application Loan demand Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.BE.ALL.O.E.Z.B3.RA.D.FNET,Q,BE,ALL,O,E,Z,B3,RA,D,FNET,2016-Q1,-25,A,F,,,P3M,B,,,2,,Share of rejected loan application-Overall-Enterprise,Belgium - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Share of rejected loan application Loan demand Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.BE.ALL.O.E.Z.B3.RA.D.FNET,Q,BE,ALL,O,E,Z,B3,RA,D,FNET,2016-Q2,-25,A,F,,,P3M,B,,,2,,Share of rejected loan application-Overall-Enterprise,Belgium - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Share of rejected loan application Loan demand Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.BE.ALL.O.E.Z.B3.RA.D.FNET,Q,BE,ALL,O,E,Z,B3,RA,D,FNET,2016-Q3,-25,A,F,,,P3M,B,,,2,,Share of rejected loan application-Overall-Enterprise,Belgium - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Share of rejected loan application Loan demand Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.BE.ALL.O.E.Z.B3.RA.D.FNET,Q,BE,ALL,O,E,Z,B3,RA,D,FNET,2016-Q4,0,A,F,,,P3M,B,,,2,,Share of rejected loan application-Overall-Enterprise,Belgium - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Share of rejected loan application Loan demand Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.BE.ALL.O.E.Z.B3.RA.D.FNET,Q,BE,ALL,O,E,Z,B3,RA,D,FNET,2017-Q1,-25,A,F,,,P3M,B,,,2,,Share of rejected loan application-Overall-Enterprise,Belgium - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Share of rejected loan application Loan demand Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.BE.ALL.O.E.Z.B3.RA.D.FNET,Q,BE,ALL,O,E,Z,B3,RA,D,FNET,2017-Q2,-50,A,F,,,P3M,B,,,2,,Share of rejected loan application-Overall-Enterprise,Belgium - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Share of rejected loan application Loan demand Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.BE.ALL.O.E.Z.B3.RA.D.FNET,Q,BE,ALL,O,E,Z,B3,RA,D,FNET,2017-Q3,-25,A,F,,,P3M,B,,,2,,Share of rejected loan application-Overall-Enterprise,Belgium - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Share of rejected loan application Loan demand Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
